ts,battery_level,battery_voltage,clock_invalid,humidity,light_lux,light_percent,temperature,weight_grams,delta_w,delta_w_10,rolling_std_5,rolling_std_10,rolling_mean_5,net_weight,is_plateau,plateau_duration_s,hour_sin,hour_cos,dia_semana_sin,delta_w_30,rolling_std_30,session_gap_s,weight_zscore,trend_slope,cluster_ganador,anomaly_lof,score_lof
2026-05-29 01:19:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,750,-0.6461239796429639,0.7632324697825288,0.43388373911755823,1.0,1.0372377109016768,750.0,0.04492973232568047,-6.601659035313344e-15,1,-1,1.5712688248403728
2026-05-29 01:19:30+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,780,-0.6461239796429639,0.7632324697825288,0.43388373911755823,1.0,0.9994251220896182,780.0,0.04492973232568047,-6.601659035313344e-15,1,-1,1.6418953858596381
2026-05-29 01:20:00+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,810,-0.6427876096865396,0.7660444431189778,0.43388373911755823,1.0,0.9589266029454138,810.0,0.04492973232568047,-6.601659035313344e-15,1,-1,1.6254506361339622
2026-05-29 01:21:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,900,-0.6394390019805846,0.7688418320734597,0.43388373911755823,-2.0,0.860366134275302,900.0,0.12677800957628652,-6.601659035313344e-15,1,-1,1.5328231045620564
2026-05-29 01:22:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,930,-0.6360782202777646,0.7716245833877194,0.43388373911755823,-2.0,0.8136762043142571,930.0,0.1810899455188384,-6.601659035313344e-15,1,-1,1.8176933548984913
2026-05-29 01:22:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,960,-0.6360782202777646,0.7716245833877194,0.43388373911755823,-2.0,0.758098043545711,960.0,0.19039757904427715,-6.601659035313344e-15,1,-1,1.7853273943976178
2026-05-29 01:23:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,990,-0.6327053285625163,0.7743926440821854,0.43388373911755823,-2.0,0.6914918072468826,990.0,0.1998321443193575,-6.601659035313344e-15,1,-1,1.7478583839663369
2026-05-29 01:23:30+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,1020,-0.6327053285625163,0.7743926440821854,0.43388373911755823,-2.0,0.6102571532169332,1020.0,0.20939917192510815,-6.601659035313344e-15,1,-1,1.7075897699745988
2026-05-29 01:24:00+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,1050,-0.6293203910498378,0.7771459614569706,0.43388373911755823,-2.0,0.507416263354319,1050.0,0.21910449409799032,-6.601659035313344e-15,1,-1,1.6612869802158923
2026-05-29 01:24:30+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,1080,-0.6293203910498378,0.7771459614569706,0.43388373911755823,-2.0,0.36514837159931385,1080.0,0.22895426738729135,-6.601659035313344e-15,1,-1,1.6105221242743049
2026-05-29 01:25:00+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,1110,-0.625923472184059,0.7798844830928818,0.43388373911755823,-2.0,0.0,1110.0,0.23895499741786627,-6.601659035313344e-15,1,-1,1.6286357587968605
